function_name,function_type,input_size,memory_config_mb,cold_start,lines_of_code,num_loops,num_conditionals,num_function_calls,cyclomatic_complexity,max_nesting_depth,local_duration_ms,local_cpu_percent,local_memory_mb,local_energy_wh,aws_duration_ms,aws_memory_used_mb,aws_cold_start,aws_energy_estimate_wh,duration_ratio,memory_efficiency,energy_target_wh,calibration_ratio
bubble-sort,cpu,Small,256,True,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,570.48,35,True,0.000128358,6.892851964622299,0.13671875,0.0557186543644585,0.0023036809029953
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,560.38,35,False,0.0001260855,6.770818230148373,0.13671875,0.0557186543644585,0.0022628956394974
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,568.68,35,False,0.0001279529999999,6.87110337828041,0.13671875,0.0557186543644585,0.0022964122421739
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,555.88,35,False,0.000125073,6.716446764293654,0.13671875,0.0557186543644585,0.0022447239874439
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,565.56,35,False,0.000127251,6.833405828621138,0.13671875,0.0557186543644585,0.0022838132300834
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,582.27,35,False,0.00013101075,7.035305205161664,0.13671875,0.0557186543644585,0.0023512906313754
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,566.53,35,False,0.0001274692499999,6.845125900149823,0.13671875,0.0557186543644585,0.0022877302306372
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,584.69,35,False,0.00013155525,7.064544971243536,0.13671875,0.0557186543644585,0.0023610629420353
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,566.92,35,False,0.0001275569999999,6.849838093857231,0.13671875,0.0557186543644585,0.0022893051071485
bubble-sort,cpu,Small,256,False,12,2,1,7,4,3,82.76400000000001,17.44,123.63,0.0557186543644585,583.27,35,False,0.0001312357499999,7.047387753129379,0.13671875,0.0557186543644585,0.0023553287762762
bubble-sort,cpu,Medium,256,False,12,2,1,7,4,3,5160.201999999999,17.13,123.672,0.3563652086083727,5202.18,35,False,0.0011704905,1.008134952856497,0.13671875,0.3563652086083727,0.0032845251773337
bubble-sort,cpu,Medium,256,False,12,2,1,7,4,3,5160.201999999999,17.13,123.672,0.3563652086083727,5202.83,35,False,0.00117063675,1.0082609169175936,0.13671875,0.3563652086083727,0.0032849355709313
bubble-sort,cpu,Medium,256,False,12,2,1,7,4,3,5160.201999999999,17.13,123.672,0.3563652086083727,5192.02,35,False,0.0011682045,1.006166037686122,0.13671875,0.3563652086083727,0.0032781104097167
